DEC 	OCT 	HEX 	BIN 	Символ 	HTML 	Мнемоника
					код

128 	200 	0x80 	10000000 	Ђ 	&#128; 	
129 	201 	0x81 	10000001 	Ѓ 	&#129; 	
130 	202 	0x82 	10000010 	‚ 	&#130; 	&sbquo;
131 	203 	0x83 	10000011 	ѓ 	&#131; 	
132 	204 	0x84 	10000100 	„ 	&#132; 	&bdquo;
133 	205 	0x85 	10000101 	… 	&#133; 	&hellip;
134 	206 	0x86 	10000110 	† 	&#134; 	&dagger;
135 	207 	0x87 	10000111 	‡ 	&#135; 	&Dagger;
136 	210 	0x88 	10001000 	€ 	&#136; 	&euro;
137 	211 	0x89 	10001001 	‰ 	&#137; 	&permil;
138 	212 	0x8A 	10001010 	Љ 	&#138; 	
139 	213 	0x8B 	10001011 	‹ 	&#139; 	&lsaquo;
140 	214 	0x8C 	10001100 	Њ 	&#140; 	
141 	215 	0x8D 	10001101 	Ќ 	&#141; 	
142 	216 	0x8E 	10001110 	Ћ 	&#142; 	
143 	217 	0x8F 	10001111 	Џ 	&#143; 	
144 	220 	0x90 	10010000 	Ђ 	&#144; 	
145 	221 	0x91 	10010001 	‘ 	&#145; 	&lsquo;
146 	222 	0x92 	10010010 	’ 	&#146; 	&rsquo;
147 	223 	0x93 	10010011 	“ 	&#147; 	&ldquo;
148 	224 	0x94 	10010100 	” 	&#148; 	&rdquo;
149 	225 	0x95 	10010101 	• 	&#149; 	&bull;
150 	226 	0x96 	10010110 	– 	&#150; 	&ndash;
151 	227 	0x97 	10010111 	— 	&#151; 	&mdash;
152 	230 	0x98 	10011000 	Начало 	&#152;
					строки
153 	231 	0x99 	10011001 	™ 	&#153; 	&trade;
154 	232 	0x9A 	10011010 	љ 	&#154; 	
155 	233 	0x9B 	10011011 	› 	&#155; 	&rsaquo;
156 	234 	0x9C 	10011100 	њ 	&#156; 	
157 	235 	0x9D 	10011101 	ќ 	&#157; 	
158 	236 	0x9E 	10011110 	ћ 	&#158; 	
159 	237 	0x9F 	10011111 	џ 	&#159; 	
160 	240 	0xA0 	10100000   Неразрывный 	&#160; 	&nbsp;
					пробел
161 	241 	0xA1 	10100001 	Ў 	&#161; 	
162 	242 	0xA2 	10100010 	ў 	&#162; 	
163 	243 	0xA3 	10100011 	Ј 	&#163; 	
164 	244 	0xA4 	10100100 	¤ 	&#164; 	&curren;
165 	245 	0xA5 	10100101 	Ґ 	&#165; 	
166 	246 	0xA6 	10100110 	¦ 	&#166; 	&brvbar;
167 	247 	0xA7 	10100111 	§ 	&#167; 	&sect;
168 	250 	0xA8 	10101000 	Ё 	&#168; 	
169 	251 	0xA9 	10101001 	© 	&#169; 	&copy;
170 	252 	0xAA 	10101010 	Є 	&#170; 	
171 	253 	0xAB 	10101011 	« 	&#171; 	&laquo;
172 	254 	0xAC 	10101100 	¬ 	&#172; 	&not;
173 	255 	0xAD 	10101101 	Мягкий 	&#173; 	&shy;
					перенос
174 	256 	0xAE 	10101110 	® 	&#174; 	&reg;
175 	257 	0xAF 	10101111 	Ї 	&#175; 	
176 	260 	0xB0 	10110000 	° 	&#176; 	&deg;
177 	261 	0xB1 	10110001 	± 	&#177; 	&plusmn;
178 	262 	0xB2 	10110010 	І 	&#178; 	
179 	263 	0xB3 	10110011 	і 	&#179; 	
180 	264 	0xB4 	10110100 	ґ 	&#180; 	
181 	265 	0xB5 	10110101 	µ 	&#181; 	&micro;
182 	266 	0xB6 	10110110 	¶ 	&#182; 	&para;
183 	267 	0xB7 	10110111 	· 	&#183; 	&middot;
184 	270 	0xB8 	10111000 	ё 	&#184; 	
185 	271 	0xB9 	10111001 	№ 	&#185; 	
186 	272 	0xBA 	10111010 	є 	&#186; 	
187 	273 	0xBB 	10111011 	» 	&#187; 	&raquo;
188 	274 	0xBC 	10111100 	ј 	&#188; 	
189 	275 	0xBD 	10111101 	Ѕ 	&#189; 	
190 	276 	0xBE 	10111110 	ѕ 	&#190; 	
191 	277 	0xBF 	10111111 	ї 	&#191; 	
192 	300 	0xC0 	11000000 	А 	&#192; 	
193 	301 	0xC1 	11000001 	Б 	&#193; 	
194 	302 	0xC2 	11000010 	В 	&#194; 	
195 	303 	0xC3 	11000011 	Г 	&#195; 	
196 	304 	0xC4 	11000100 	Д 	&#196; 	
197 	305 	0xC5 	11000101 	Е 	&#197; 	
198 	306 	0xC6 	11000110 	Ж 	&#198; 	
199 	307 	0xC7 	11000111 	З 	&#199; 	
200 	310 	0xC8 	11001000 	И 	&#200; 	
201 	311 	0xC9 	11001001 	Й 	&#201; 	
202 	312 	0xCA 	11001010 	К 	&#202; 	
203 	313 	0xCB 	11001011 	Л 	&#203; 	
204 	314 	0xCC 	11001100 	М 	&#204; 	
205 	315 	0xCD 	11001101 	Н 	&#205; 	
206 	316 	0xCE 	11001110 	О 	&#206; 	
207 	317 	0xCF 	11001111 	П 	&#207; 	
208 	320 	0xD0 	11010000 	Р 	&#208; 	
209 	321 	0xD1 	11010001 	С 	&#209; 	
210 	322 	0xD2 	11010010 	Т 	&#210; 	
211 	323 	0xD3 	11010011 	У 	&#211; 	
212 	324 	0xD4 	11010100 	Ф 	&#212; 	
213 	325 	0xD5 	11010101 	Х 	&#213; 	
