Название 	Значение 							Проверяемые флаги

JB/JNAE 	Перейти, если меньше / если  не больше или равно 		CF = 1
JAE/JNB 	Перейти, если больше или равно / если не меньше 		CF = 0
JBE/JNA 	Перейти, если меньше или равно / если не больше 		CF = 1 или ZF = 1
JA/JNBE 	Перейти, если больше / если не меньше или равно 		CF = 0 и ZF = 0
JE/JZ 		Перейти, если равно 						ZF = 1
JNE/JNZ 	Перейти, если не равно 						ZF = 0
JL/JNGE 	Перейти, если меньше чем / если не больше чем или равно 	SF = OF
JGE/JNL 	Перейти, если больше чем или равно /если не меньше чем 		SF = OF
JLE/JNLE 	Перейти, если меньше чем или равно / если не больше, чем 	ZF = 1 или SF = OF
JG/JNLE 	Перейти, если больше чем / если не меньше чем или равно 	ZF = 0 или SF = OF
JP/JPE 		Перейти по четности 						PF = 1
JNP/JPO 	Перейти по нечетности 						PF = 0
JS 		Перейти по знаку 						SF = 1
JNS 		Перейти, если знак не установлен 				SF = 0
JC 		Перейти при наличии переноса 					CF = 1
JNC 		Перейти при отсутствии переноса 				CF = 0
JO 		Перейти по переполнению 					OF = 1
JNO 		Перейти при отсутствии переполнения 				OF = 0

CF - флаг переноса,  SF - флаг знака,  OF - флаг переполнения, ZF - флаг нуля, PF - флаг четности.
